Label,Time,Data,Sentiment
1,10.35pm,Spend eighty percent of your time focusing on the opportunities of tomorrow rather than the problems of yesterday.,1
2,11.01am,Sometimes sitting alone remove sadness.,0
3,03.12pm,Happiness is the by-product of a goal.,1
4,06.06pm,It’s easy to cry when you realize that everyone you love will reject you or die. ,0
5,12.03am,THIS is a bad day in my life.,0
6,11.11pm,Happy days is my Favourite movie.,1
7,12.06am,You Killed What Was Left Of The Good In Me.,0
8,07.00am,"“The heart dies a slow death, shedding each hope like leaves until one day there are none. No hopes. Nothing remains",0
9,09.15pm,Our marriage is like a workshop. I work and my wife shops.,0
10,12.34am,"Happiness is a gift and the trick is not to expect it, but to delight in it when it comes.",1
11,06.09am,"It’s sad to know I’m done. But looking back, I’ve got a lot of great memories. ",1
12,05.30am,"We must accept finite disappointment, but never lose infinite hope.",1
13,6.15pm,Failure is the condiment that gives success its flavor.,1
14,2.00am,"Every day is a new day, and you’ll never be able to find happiness if you don’t move on.",1
15,3.30pm,You Lose Yourself Trying To Hold On To Someone Who Doesn’t Care About Losing You.,0
16,12.24pm,"Though no one can go back and make a brand-new start, anyone can start from now and make a brand-new ending.",1
17,1.15pm,Better things are coming.,1
18,8.16am,Seize the moments of happiness.,1
19,9.45pm,“Death pays all debts.”,0
20,10.45am,A smile is a curve that sets everything straight.,1
21,2.50pm,I hope she is not lonely and unhappy.,0
22,4.55pm,My Uncle died due to Covid.RIP,0
23,5.30am,"It’s not how we make mistakes, but how we correct them that define us.",1
24,7.45am,They betrayed the whole Family for money.,0
25,8.55pm,“Tears are words that need to be written.” ,0
26,9.30am,Happiness in intelligent people is the rarest thing I know.,1
27,10.45pm,Emptiness feels so heavy.,0
28,11.30am,I know my silence and my tears will heal my pain one day.,1
29,3.45pm,I don’t need to make the world a better place. I’m happy just making my home a better place.,1
30,11.13pm,Friendship is a lot like money. It’s easier made than kept.,1
31,12.37am,I have no one in this world,0
32,12.12pm,Health is an important factor of happiness.,1
33,1.13pm,"It takes a minute to like someone, an hour to love someone, but to forget someone takes a lifetime.",0
34,9.08pm,“Death is when the monsters get you.”,0
35,1.21am,the day is gloomy,0
36,12.30am,"“I am not afraid of death, I just don’t want to be there when it happens.”",0
37,3.40pm,I’ll be happy to work with you.,1
38,11.36am,"Don’t wait for the good days, just live the bad days as good as possible!",1
39,7;45am,What you must understand about me is that I’m a deeply unhappy person. ,0
40,8.9am,A wave of loneliness washed over her.,0
41,04.40am,Only those who dare to fail greatly can ever achieve greatly.,1
42,5.10pm,Opportunities don't happen  You create them.,1
43,12.12am,Moving On . Sound Easy. But I Died Thousand Times In Pain Just To Appreciate This Phrase.,0
44,11.40pm,All I have is hope.,1
45,9.11am,Apologies don't fix broken hearts .,0
46,10.12am,"You’Re The First Person Who Broke My Heart. For The Rest Of My Life, You Will Always Be The On Who Hurt Me The Most. Don’T Forget That.",0
47,11.55pm,Iam a good dancer,1
48,7.06am,everyone is selfish,0
49,9.47pm,The greatest happiness you can have is knowing that you do not necessarily require happiness.,1
50,11.22pm,Old age is the sunset of life.,0
51,2.30am,"May you have enough happiness to make you sweet, enough trials to make you strong, enough sorrow to keep you human and enough hope to make you happy.",1
52,3.7pm,Pain is real  But so is hope.,1
53,11.12am,I feel lost inside myself,0
54,4.23pm,Life isn’t about finding yourself  Life is about creating yourself.,1
55,12.56am,"“If you have a sister and she dies, do you stop saying you have one? Or are you always a sister, even when the other half of the equation is gone?”",0
